id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_071	24	32	4.945514020	0.154547313	1	22	32	32	0.054030157	-0.034722869	640	637	0.995312500	32	31	0.968750000	637	578	0.907378336	637	0.831895443	-0.182121409	6024	5427	0.900896414
case_072	17	32	3.011118756	0.094097461	1	9	32	32	0.014521154	-0.011427693	640	634	0.990625000	32	32	1.000000000	634	576	0.908517350	634	0.866798244	-0.393213654	5967	5419	0.908161555
case_073	15	32	1.629930992	0.050935343	1	32	32	32	0.016548110	0.008191815	640	637	0.995312500	32	31	0.968750000	637	590	0.926216641	637	0.571894844	0.245475145	6023	5573	0.925286402
case_074	15	32	4.032768613	0.126024019	1	18	32	32	0.077884672	-0.027912091	640	639	0.998437500	32	29	0.906250000	639	593	0.928012520	639	0.745130390	0.331706828	6061	5550	0.915690480
case_075	16	32	3.024889822	0.094527807	1	24	32	32	0.045445666	0.006270166	640	637	0.995312500	32	31	0.968750000	637	593	0.930926217	637	0.694443040	-0.029499258	6023	5598	0.929437158
case_076	22	32	2.337294443	0.073040451	1	21	32	32	0.024963429	0.000330220	640	639	0.998437500	32	31	0.968750000	639	572	0.895148670	639	0.708197360	0.199379836	6061	5503	0.907935984
case_077	24	32	6.574017724	0.205438054	1	21	32	32	0.093498186	-0.020558957	640	637	0.995312500	32	31	0.968750000	637	570	0.894819466	637	0.707742598	0.217459925	6023	5419	0.899717749
case_078	28	32	6.180696630	0.193146770	0	0	32	32	0.101935804	-0.055734751	640	640	1.000000000	32	31	0.968750000	640	571	0.892187500	640	0.986957626	-0.296565959	6080	5389	0.886348684
case_079	20	32	12.123557694	0.378861178	1	14	32	32	0.116204380	-0.060540653	640	639	0.998437500	32	29	0.906250000	639	567	0.887323944	639	0.837060243	-0.170188704	6061	5423	0.894736842
case_080	13	32	13.292462419	0.415389451	1	12	32	32	0.104763786	-0.054358293	640	634	0.990625000	32	30	0.937500000	634	560	0.883280757	634	0.874489942	-0.505314089	5966	5333	0.893898760
case_081	13	32	23.352302374	0.729759449	0	0	32	32	0.175381749	-0.103850236	640	639	0.998437500	32	29	0.906250000	639	573	0.896713615	639	0.620780426	0.038165337	6061	5463	0.901336413
case_082	16	32	8.195488908	0.256109028	1	19	32	32	0.125654709	-0.097725345	640	628	0.981250000	32	30	0.937500000	628	583	0.928343949	628	0.891758238	-0.172270966	5852	5365	0.916780588
case_083	19	17	0.000015852	0.000000932	1	17	17	17	0.000000199	-0.000000063	340	329	0.967647059	17	17	1.000000000	329	308	0.936170213	329	0.556680375	0.057462898	3022	2775	0.918266049
case_084	23	11	0.000026450	0.000002405	1	11	11	11	0.000001346	-0.000001310	220	209	0.950000000	11	11	1.000000000	209	184	0.880382775	209	0.611410608	-0.084506385	1882	1685	0.895324123
case_085	18	32	6.065570643	0.189549083	1	15	32	32	0.085893978	-0.027071167	640	631	0.985937500	32	30	0.937500000	631	585	0.927099842	631	0.634678613	-0.182029608	5912	5483	0.927435724
case_086	16	32	12.338849384	0.385589043	1	17	32	32	0.144179160	-0.001876567	640	631	0.985937500	32	28	0.875000000	631	577	0.914421553	631	0.624186059	0.041753062	5909	5414	0.916229480
case_087	12	32	6.167332283	0.192729134	1	6	32	32	0.053474666	-0.015056067	640	632	0.987500000	32	30	0.937500000	632	602	0.952531646	632	0.491309974	-0.040254926	5928	5470	0.922739541
case_088	14	32	11.563350118	0.361354691	0	0	32	32	0.108129246	0.010280728	640	637	0.995312500	32	29	0.906250000	637	577	0.905808477	637	0.624819415	0.269789513	6023	5471	0.908351320
case_089	12	32	4.544866608	0.142027081	1	30	32	32	0.028322674	0.027260698	640	632	0.987500000	32	32	1.000000000	632	589	0.931962025	632	0.530139958	-0.059392905	5928	5506	0.928812416
case_090	17	32	10.745950807	0.335810963	1	14	32	32	0.057046554	0.003640777	640	632	0.987500000	32	32	1.000000000	632	595	0.941455696	632	0.552580225	0.211943664	5928	5477	0.923920378
case_091	14	32	11.853970794	0.370436587	1	9	32	32	0.192367728	-0.112292139	640	635	0.992187500	32	31	0.968750000	635	587	0.924409449	635	0.583527356	0.098950200	5985	5587	0.933500418
case_092	15	32	5.557921929	0.173685060	1	1	32	32	0.041097943	-0.014265618	640	628	0.981250000	32	32	1.000000000	628	590	0.939490446	628	0.394593454	0.150355638	5852	5468	0.934381408
case_093	17	32	5.814148389	0.181692137	1	12	32	32	0.049266016	0.037143987	640	638	0.996875000	32	31	0.968750000	638	595	0.932601881	638	0.557449398	-0.247560485	6042	5627	0.931314134
case_094	16	1	0.000992937	0.000992937	1	1	1	1	0.000477013	-0.000477013	20	20	1.000000000	1	1	1.000000000	20	19	0.950000000	20	0.560301035	-0.205084581	190	172	0.905263158
case_095	17	2	0.022268398	0.011134199	1	2	2	2	0.001931439	0.001931439	40	39	0.975000000	2	2	1.000000000	39	37	0.948717949	39	0.533058190	-0.350444465	361	331	0.916897507
case_096	15	5	0.000012430	0.000002486	1	5	5	5	0.000001089	0.000001066	100	96	0.960000000	5	5	1.000000000	96	83	0.864583333	96	0.853438745	-0.739972717	874	770	0.881006865
case_097	22	1	1.104975124	1.104975124	0	0	1	1	0.622864624	-0.622864624	20	20	1.000000000	1	0	0.000000000	20	18	0.900000000	20	0.737058033	-0.522369584	190	159	0.836842105
case_098	20	7	2.886592299	0.412370328	0	0	7	7	0.200944810	-0.179380099	140	136	0.971428571	7	7	1.000000000	136	119	0.875000000	136	0.750292500	-0.487561211	1254	1098	0.875598086
case_099	22	6	0.181918956	0.030319826	1	6	6	6	0.012612995	0.012612986	120	114	0.950000000	6	6	1.000000000	114	105	0.921052632	114	0.539968811	-0.390835131	1026	913	0.889863548
