id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_075	16	32	5.045010653	0.157656583	1	22	32	32	0.131864144	-0.056858610	640	637	0.995312500	32	30	0.937500000	637	550	0.863422292	637	1.259386767	0.381064471	6023	5253	0.872156733
case_076	22	32	7.975615794	0.249237994	1	4	32	32	0.181675064	-0.175867322	640	639	0.998437500	32	28	0.875000000	639	523	0.818466354	639	1.461918752	0.055613595	6061	5200	0.857944234
case_077	24	32	6.708328731	0.209635273	1	28	32	32	0.163029300	-0.024756176	640	637	0.995312500	32	31	0.968750000	637	518	0.813186813	637	1.639287965	0.958066423	6023	4999	0.829985057
case_078	28	32	11.656071550	0.364252236	0	0	32	32	0.324695548	-0.226840217	640	640	1.000000000	32	27	0.843750000	640	521	0.814062500	640	1.670792444	-0.071217708	6080	5021	0.825822368
case_079	20	32	14.437887903	0.451183997	1	5	32	32	0.270071211	-0.132863472	640	639	0.998437500	32	26	0.812500000	639	502	0.785602504	639	1.731959630	0.722506916	6061	5040	0.831545950
case_080	13	32	22.063789676	0.689493427	1	11	32	32	0.507281151	-0.328462270	640	634	0.990625000	32	28	0.875000000	634	480	0.757097792	634	1.999150588	1.231818814	5966	4766	0.798860208
case_081	13	32	28.511445777	0.890982681	0	0	32	32	0.460856057	-0.265073468	640	639	0.998437500	32	24	0.750000000	639	526	0.823161189	639	1.226919578	0.176573708	6061	4904	0.809107408
case_082	16	32	2.482796178	0.077587381	1	8	32	32	0.115200823	0.080796302	640	628	0.981250000	32	29	0.906250000	628	518	0.824840764	628	1.448920722	0.292024669	5852	5067	0.865857826
case_083	19	17	0.000016931	0.000000996	1	17	17	17	0.000001058	-0.000000126	340	329	0.967647059	17	17	1.000000000	329	287	0.872340426	329	1.378592937	0.867604257	3022	2626	0.868960953
case_084	23	11	0.000436836	0.000039712	1	11	11	11	0.000038621	-0.000038618	220	209	0.950000000	11	11	1.000000000	209	172	0.822966507	209	2.300214587	2.102102092	1882	1510	0.802337938
case_085	18	32	9.813363940	0.306667623	1	13	32	32	0.229956274	-0.144189708	640	631	0.985937500	32	31	0.968750000	631	502	0.795562599	631	2.336366319	1.936632561	5912	4930	0.833897158
case_086	16	32	17.368940159	0.542779380	1	17	32	32	0.294956522	-0.159066904	640	631	0.985937500	32	26	0.812500000	631	519	0.822503962	631	2.047411948	1.622057224	5909	4889	0.827381960
case_087	12	32	10.062532960	0.314454155	1	3	32	32	0.181313862	-0.136781088	640	632	0.987500000	32	29	0.906250000	632	531	0.840189873	632	1.785238110	1.311825815	5928	5009	0.844973009
case_088	14	32	14.484607737	0.452643992	0	0	32	32	0.214311554	-0.081008572	640	637	0.995312500	32	29	0.906250000	637	515	0.808477237	637	1.485641555	0.929579876	6023	4997	0.829652997
case_089	12	32	3.587724573	0.112116393	1	29	32	32	0.145991740	0.057171387	640	632	0.987500000	32	29	0.906250000	632	547	0.865506329	632	1.251386596	0.514948710	5928	5074	0.855937922
